2022-12-19 13:12:959 INFO  TopMenuPage :54 - Getting text from : Computers
2022-12-19 13:12:121 INFO  TopMenuPage :67 - Getting text from : Apparel
2022-12-19 13:12:306 INFO  TopMenuPage :54 - Getting text from : Computers
2022-12-19 13:12:360 INFO  TopMenuPage :67 - Getting text from : Apparel
2022-12-20 19:12:143 INFO  TopMenuPage :48 - Clicking on Computer Link : [[ChromeDriver: chrome on WINDOWS (ee6cc39f75281ad8f4a45b98e1c42422)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2022-12-20 19:12:467 INFO  TopMenuPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ee6cc39f75281ad8f4a45b98e1c42422)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2022-12-20 19:12:523 INFO  TopMenuPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ee6cc39f75281ad8f4a45b98e1c42422)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Apparel')]]
2022-12-20 19:12:652 INFO  AddToCartPage :202 - Clicking on Add to oCart Link : [[ChromeDriver: chrome on WINDOWS (b7b9c7dc5bd8a39e126360f226c9b781)] -> id: add-to-cart-button-1]
2022-12-20 19:12:333 INFO  AddToCartPage :207 - Get Text Message : [[ChromeDriver: chrome on WINDOWS (b7b9c7dc5bd8a39e126360f226c9b781)] -> xpath: //div[@class='bar-notification success']/p[1]]
2022-12-20 19:12:365 INFO  AddToCartPage :212 - Clicking on Cross button : [[ChromeDriver: chrome on WINDOWS (b7b9c7dc5bd8a39e126360f226c9b781)] -> xpath: //span[@class='close']]
2022-12-20 19:12:969 INFO  AddToCartPage :223 - Verify Text Message : [[ChromeDriver: chrome on WINDOWS (b7b9c7dc5bd8a39e126360f226c9b781)] -> xpath: //h1[text()='Shopping cart']]
2022-12-20 19:12:116 INFO  AddToCartPage :237 - Clicking on Update ShoppingCart : [[ChromeDriver: chrome on WINDOWS (b7b9c7dc5bd8a39e126360f226c9b781)] -> xpath: //button[@id='updatecart']]
